sampleid	animal	experiment_group	dose_mg_per_kg	treated	denoised_read_count
31753-30-30-10	30-30-10	30 mg/kg	30	yes	146606
31753-30-30-6	30-30-6	30 mg/kg	30	yes	152203
31753-30-30-7	30-30-7	30 mg/kg	30	yes	132441
31753-30-30-8	30-30-8	30 mg/kg	30	yes	120450
31753-30-30-9	30-30-9	30 mg/kg	30	yes	138990
31753-60-60-11	60-60-11	60 mg/kg	60	yes	129148
31753-60-60-12	60-60-12	60 mg/kg	60	yes	129138
31753-60-60-13	60-60-13	60 mg/kg	60	yes	114675
31753-60-60-14	60-60-14	60 mg/kg	60	yes	136519
31753-60-60-15	60-60-15	60 mg/kg	60	yes	136350
31753-k1	k1	Control	0	no	116065
31753-k2	k2	Control	0	no	141562
31753-k3	k3	Control	0	no	142554
31753-k4	k4	Control	0	no	156055
31753-k5	k5	Control	0	no	138322
